country,code,continent,population,population_density,median_age,gdp_per_capita
Latvia,LVA,Europe,1881016.0,30.226835250854492,42.94599914550781,32992.3828125
Lebanon,LBN,Asia,5744441.0,561.5289306640625,28.106000900268555,12986.9130859375
Lesotho,LSO,Africa,2286067.0,75.29865264892578,21.263999938964844,2240.33935546875
Liberia,LBR,Africa,5373250.0,55.785404205322266,18.18000030517578,1460.92333984375
Libya,LBY,Africa,7223757.0,4.105480194091797,26.91699981689453,19796.587890625
Liechtenstein,LIE,Europe,39287.0,245.5437469482422,44.01399993896485,
Lithuania,LTU,Europe,2816872.0,44.99076843261719,42.632999420166016,39955.24609375
Luxembourg,LUX,Europe,653267.0,253.7491149902344,38.67599868774414,117746.9921875
Macao,MAC,Asia,704309.0,21342.697265625,37.83100128173828,51840.140625
Madagascar,MDG,Africa,30437216.0,52.31560134887695,18.718000411987305,1502.482177734375
Malawi,MWI,Africa,20568683.0,218.1659240722656,17.334999084472656,1466.87939453125
Malaysia,MYS,Asia,34695445.0,105.60172271728516,29.572999954223633,28383.619140625
Maldives,MDV,Asia,524067.0,1746.8900146484375,30.339000701904297,21271.318359375
Mali,MLI,Africa,23072588.0,18.909011840820312,15.348999977111816,2132.623291015625
Malta,MLT,Europe,528148.0,1650.4625244140625,39.74599838256836,48641.8515625
Marshall Islands,MHL,Oceania,40058.0,222.54444885253903,20.96500015258789,6004.3427734375
Martinique,MTQ,North America,349407.0,329.6292419433594,48.23899841308594,
Mauritania,MRT,Africa,4875590.0,4.730367660522461,16.992000579833984,5330.21435546875
Mauritius,MUS,Africa,1276075.0,638.9959716796875,36.51300048828125,22841.349609375
Mayotte,MYT,Africa,305239.0,816.1470336914062,16.697999954223633,
Mexico,MEX,North America,128613066.0,66.16068267822266,28.527999877929688,20254.78125
Micronesia (country),FSM,Oceania,112081.0,160.11570739746094,22.607999801635746,3263.665283203125
Moldova,MDA,Europe,3039946.0,92.20339965820312,37.47800064086914,13308.4169921875
Monaco,MCO,Europe,38907.0,18669.38671875,54.974998474121094,
Mongolia,MNG,Asia,3385971.0,2.1739683151245117,26.617000579833984,12073.2451171875
Montenegro,MNE,Europe,614603.0,45.69538879394531,39.08000183105469,22108.73046875
Montserrat,MSR,North America,4428.0,44.279998779296875,41.3849983215332,
Morocco,MAR,Africa,37329012.0,83.64107513427734,28.875,8083.365234375
Mozambique,MOZ,Africa,32656190.0,41.52723693847656,16.249000549316406,1250.7724609375
Myanmar,MMR,Asia,53756739.0,82.36434936523438,29.250999450683594,4249.8759765625
Namibia,NAM,Africa,2889626.0,3.5098519325256348,20.825000762939453,9762.77734375
Nauru,NRU,Oceania,11783.0,589.1500244140625,20.572999954223633,11024.3427734375
Nepal,NPL,Asia,29715383.0,207.2925262451172,24.356000900268555,4001.699951171875
Netherlands,NLD,Europe,17904367.0,531.76025390625,41.4630012512207,59249.16796875
New Caledonia,NCL,Oceania,287095.0,15.705415725708008,33.5890007019043,
New Zealand,NZL,Oceania,5131680.0,19.489118576049805,37.06800079345703,45185.3125
Nicaragua,NIC,North America,6730618.0,55.93001556396485,24.91200065612793,5822.353515625
Niger,NER,Africa,25311922.0,19.98257064819336,15.10200023651123,1274.6417236328125
Nigeria,NGA,Africa,223150851.0,245.01339721679688,17.566999435424805,4963.16015625
Niue,NIU,Oceania,1812.0,6.969230651855469,36.72100067138672,
North Korea,PRK,Asia,26328793.0,218.65951538085935,35.80500030517578,
North Macedonia,MKD,Europe,1840196.0,72.96574401855469,39.90999984741211,17128.759765625
Northern Mariana Islands,MNP,Oceania,46050.0,100.10869598388672,35.17900085449219,
Norway,NOR,Europe,5456753.0,14.979968070983888,39.43600082397461,67296.15625
Oman,OMN,Asia,4730179.0,15.283292770385742,28.972999572753903,35336.89453125
Pakistan,PAK,Asia,243700616.0,316.1330261230469,20.14800071716309,5376.966796875
Palau,PLW,Oceania,17738.0,38.56087112426758,37.48400115966797,14112.66796875
Palestine,PSE,Asia,5305230.0,880.5360717773438,19.604999542236328,5722.4091796875
Panama,PAN,North America,4400715.0,59.3248176574707,29.27300071716309,33266.4765625
Papua New Guinea,PNG,Oceania,10203130.0,22.530427932739254,22.12700080871582,3752.945068359375
Paraguay,PRY,South America,6760399.0,17.015853881835938,26.045000076293945,13531.396484375
Peru,PER,South America,33475381.0,26.15264129638672,29.09600067138672,12743.9423828125
Philippines,PHL,Asia,113964291.0,382.21246337890625,24.86599922180176,8581.9375
Poland,POL,Europe,38385689.0,125.40245056152344,40.86399841308594,37706.60546875
Portugal,PRT,Europe,10417030.0,113.71607971191406,45.805999755859375,35767.72265625
Puerto Rico,PRI,North America,3240923.0,365.3802795410156,45.196998596191406,34297.93359375
Qatar,QAT,Asia,2892419.0,251.7335968017578,32.45800018310547,96557.8125
Reunion,REU,Africa,871486.0,347.20556640625,37.064998626708984,
Romania,ROU,Europe,19166726.0,83.30461883544922,42.39099884033203,32495.908203125
Russia,RUS,Europe,145579843.0,8.88935661315918,39.07099914550781,27450.44921875
Rwanda,RWA,Africa,13650972.0,553.343017578125,19.219999313354492,2364.802001953125
Saint Barthelemy,BLM,North America,10897.0,,38.707000732421875,
Saint Helena,SHN,Africa,5330.0,13.666666984558104,50.2140007019043,
Saint Kitts and Nevis,KNA,North America,46695.0,179.59616088867188,34.97100067138672,28770.138671875
Saint Lucia,LCA,North America,178747.0,293.0278625488281,33.316001892089844,15100.2861328125
Saint Martin (French part),MAF,North America,28847.0,576.9400024414062,38.400001525878906,
Saint Pierre and Miquelon,SPM,North America,5724.0,24.8869571685791,45.98899841308594,
Saint Vincent and the Grenadines,VCT,North America,102012.0,261.5692443847656,33.632999420166016,14572.607421875
Samoa,WSM,Oceania,215224.0,77.41870880126953,20.090999603271484,5155.6201171875
San Marino,SMR,Europe,34066.0,567.7666625976562,46.78200149536133,61609.01171875
Sao Tome and Principe,STP,Africa,226265.0,235.6927032470703,18.868999481201172,3438.85986328125
Saudi Arabia,SAU,Asia,32175301.0,14.967415809631348,28.731000900268555,50188.296875
Senegal,SEN,Africa,17651046.0,91.67945861816406,18.88800048828125,3564.628173828125
Serbia,SRB,Europe,6791172.0,80.76075744628906,43.67499923706055,20885.888671875
Seychelles,SYC,Africa,125480.0,272.7826232910156,33.38800048828125,25205.736328125
Sierra Leone,SLE,Africa,8276759.0,114.6683120727539,19.040000915527344,1634.7637939453125
Singapore,SGP,Asia,5649833.0,7868.84814453125,34.87799835205078,108036.109375
Sint Maarten (Dutch part),SXM,North America,42108.0,1238.4705810546875,41.47999954223633,41942.91796875
Slovakia,SVK,Europe,5473145.0,113.8341293334961,40.90399932861328,33176.18359375
Slovenia,SVN,Europe,2115184.0,105.04280853271484,43.49700164794922,41015.2265625
Solomon Islands,SLB,Oceania,781026.0,27.903751373291016,20.030000686645508,2247.784912109375
Somalia,SOM,Africa,17801848.0,28.3767147064209,15.371000289916992,1448.5567626953125
